Model,Accuracy,Precision,Sensitivity,Specificity,F1
Logistic Regression,0.6433206965951468,0.633949857289847,0.6362008382981875,0.7128931515403879,0.6281538768463962
Support Vector Machine,0.5525365975662504,0.5501205249817672,0.551578583832854,0.5727720681786281,0.5430162706555449
Random Forest,0.6557954585842813,0.6399311289207743,0.645380045540341,0.6854156662113109,0.6450113555674479
"ANN (1,1)",0.552337520403588,0.386481178538452,0.5879201303437933,0.6136371134803412,0.5291157153476584
"ANN (1,2)",0.6057779957544078,0.625706143567154,0.6067217870030478,0.7867993293551405,0.654565403024501
"ANN (1,3)",0.6527853373813896,0.46987454330410044,0.6722865904890682,0.6934904836978756,0.5907055039035682
"ANN (1,4)",0.5725482830184493,0.6219783803852257,0.6066086793291637,0.6776037383102459,0.6268101237259422
"ANN (1,5)",0.656437923177184,0.6243062110275288,0.645874987890861,0.7306501935813484,0.6530727256479629
"ANN (2,1)",0.6168241210095549,0.5373677201543653,0.5695049311951859,0.7317118664393302,0.568211395988161
"ANN (2,2)",0.639149373260576,0.6420387461583384,0.6380485378248045,0.6821350130831201,0.5741117956986997
"ANN (2,3)",0.6675261739810965,0.6282911256151836,0.6425503588042681,0.7107812223313779,0.6262135434395656
"ANN (2,4)",0.6450274195356253,0.6144863436749093,0.6234911932549628,0.6993172131958707,0.6261818418159961
"ANN (2,5)",0.6476119391926366,0.6442118611580652,0.6463673533156928,0.6988738518134496,0.6322164170273747
"ANN (3,1)",0.6344820408126807,0.633820248563928,0.6161496321243909,0.5880811114230624,0.6387913263686655
"ANN (3,2)",0.6441513888862239,0.63384116465413,0.645982021277784,0.6740315068972275,0.6451327325262284
"ANN (3,3)",0.6648648222269664,0.6323088611349696,0.6245944995733513,0.6845819540799705,0.5941135114374945
"ANN (3,4)",0.6498414424197301,0.6315074898295019,0.6301361745648416,0.7015068207510876,0.6289897968995584
"ANN (3,5)",0.6595863307378375,0.6408937207501572,0.6569798493970209,0.6533523881594473,0.6394314442964009
"ANN (4,1)",0.6567020027955996,0.5237625115545741,0.6497085123998377,0.7405575389025066,0.5173556931839192
"ANN (4,2)",0.6494342310900435,0.6114571574441738,0.6283138837559697,0.6662502388071945,0.6221547432680026
"ANN (4,3)",0.6430447978407988,0.6324922099296731,0.6330082711621138,0.7035214179305282,0.6384562252831805
"ANN (4,4)",0.6399586789983235,0.629732822589803,0.6335413026421778,0.6869653877252159,0.6226758591438922
"ANN (4,5)",0.642273272031422,0.6452922357529791,0.6448573910395188,0.6747774064164703,0.6291538401054113
"ANN (5,1)",0.5620292833240766,0.634586997079397,0.6481535650515664,0.6547848687602885,0.6356466664989509
"ANN (5,2)",0.6481174030626576,0.6241023276833217,0.6325586783832445,0.6637467552440616,0.6375551403341613
"ANN (5,3)",0.657629561952924,0.6275979294275913,0.6352834831958827,0.678625403679274,0.6508487206711332
"ANN (5,4)",0.6278862033535295,0.6423623365763141,0.6287224818736858,0.6550324531890476,0.6372429548806009
"ANN (5,5)",0.6477969664397881,0.6228444820208587,0.6319929675297677,0.6925661878592478,0.6260539592480989
