Model,Accuracy,Precision,Sensitivity,Specificity,F1
Logistic Regression,0.6285407756650001,0.6286696049727681,0.6292192431088012,0.6707438476908287,0.6152663616177378
Support Vector Machine,0.5770162076680693,0.572012228761033,0.5749919140813503,0.633150450965223,0.560607487099001
Random Forest,0.6695777137135445,0.6528612468038597,0.6512451321581862,0.6842490860168191,0.6519657827160342
"ANN (1,1)",0.5835443492384426,0.5238843380852243,0.5769771006398738,0.7968413693337558,0.48535262293028403
"ANN (1,2)",0.626065317697701,0.6401080706484129,0.5640956785360791,0.6566969308347518,0.5415415170613399
"ANN (1,3)",0.6434055002111196,0.6296798611000645,0.6241631049620342,0.684988021110042,0.6256470940921862
"ANN (1,4)",0.5786459328995527,0.6392367885132405,0.6185072129359422,0.690915512325363,0.6161105813839052
"ANN (1,5)",0.6193392148531771,0.6138166436615349,0.5952713146480507,0.6454624587956526,0.6208164167698097
"ANN (2,1)",0.5730846227051123,0.6398992725466599,0.5616346155846236,0.7401598761894685,0.6205243112878162
"ANN (2,2)",0.6178756691098682,0.6331349077688773,0.6244272030229996,0.676954923342812,0.5903144405993168
"ANN (2,3)",0.6598865344033122,0.6332971541247391,0.6435196234367175,0.6450017918267366,0.615410813740535
"ANN (2,4)",0.6294238451351759,0.6286813733167551,0.6150445210751276,0.6734954297879362,0.6154977211585336
"ANN (2,5)",0.6294175230270381,0.6358958946621838,0.6461253117053994,0.6422504491034653,0.6189991310603107
"ANN (3,1)",0.6316126516936675,0.5839220338679472,0.6449332586188768,0.6609124849335866,0.5514962089319038
"ANN (3,2)",0.6511791066514119,0.632005224174222,0.6083209446814475,0.6949589216907807,0.6434902938561751
"ANN (3,3)",0.6296533112371426,0.5663995785564568,0.6320646037914757,0.6757756825298521,0.615015142177759
"ANN (3,4)",0.6357169001227838,0.6480758608108352,0.6397589598489115,0.689878627307602,0.62027023326921
"ANN (3,5)",0.6440453613841916,0.6309085092280474,0.626435344759334,0.6395819412885683,0.6160400504399176
"ANN (4,1)",0.530242844185616,0.5463597246371485,0.6506149830147432,0.6365023138603043,0.6190000382613448
"ANN (4,2)",0.630168109393862,0.6343440294510506,0.6310099776078502,0.6704213968640301,0.6477611645590692
"ANN (4,3)",0.6233290467480884,0.635575613169175,0.656786451022884,0.6687447672428002,0.6309741360244373
"ANN (4,4)",0.6481850972899008,0.6380026615886303,0.6262182567305383,0.6765011368574039,0.6234608140510772
"ANN (4,5)",0.6393361603729909,0.6318316595473391,0.6354280324607844,0.6721786411576208,0.6187748847442179
"ANN (5,1)",0.6219850695347707,0.6567027751761245,0.6087990531231371,0.734509357742373,0.6162488904207806
"ANN (5,2)",0.6482342991223135,0.6272242092727485,0.624908516902041,0.6824014809829781,0.6195599045291283
"ANN (5,3)",0.6354927924676259,0.6217707337963321,0.6516460266169996,0.6588068432618663,0.6149489877988767
"ANN (5,4)",0.6466775748958006,0.6310607660089624,0.6501415351506639,0.6453413153080712,0.6200490930366416
"ANN (5,5)",0.6618338837673473,0.6306937313922768,0.6447592746078239,0.6741071287179036,0.6310397673700856
