Model,Accuracy,Precision,Sensitivity,Specificity,F1
Logistic Regression,0.8166666666666668,0.8372294372294373,0.8150000000000001,0.805,0.8112769102242787
Support Vector Machine,0.8055555555555556,0.8233838383838383,0.8025,0.8300000000000001,0.7985940581606217
Random Forest,0.7305555555555555,0.7505555555555555,0.755,0.76,0.7740299277605779
"ANN (1,1)",0.638888888888889,0.25555555555555554,0.575,0.575,0.7192390289449113
"ANN (1,2)",0.6430555555555555,0.5652597402597402,0.665,0.755,0.635704948646125
"ANN (1,3)",0.8180555555555555,0.5976911976911976,0.825,0.85,0.5613857040792025
"ANN (1,4)",0.7347222222222223,0.8057142857142855,0.8275,0.9,0.8211017740429505
"ANN (1,5)",0.7055555555555555,0.8155555555555555,0.7275,0.885,0.7086455161774856
"ANN (2,1)",0.5986111111111111,0.6011111111111112,0.5875,0.725,0.6807936507936507
"ANN (2,2)",0.6180555555555556,0.4714285714285714,0.865,0.7849999999999999,0.8102521476818152
"ANN (2,3)",0.7444444444444445,0.7595959595959597,0.795,0.925,0.6234563785028182
"ANN (2,4)",0.8041666666666668,0.8062914862914863,0.8375,0.65,0.7700887802166575
"ANN (2,5)",0.8416666666666668,0.8399134199134197,0.7725,0.78,0.8304893455357852
"ANN (3,1)",0.7180555555555556,0.7482828282828283,0.645,0.675,0.6975793650793651
"ANN (3,2)",0.8180555555555555,0.6427228327228327,0.8175000000000001,0.8,0.6637698412698413
"ANN (3,3)",0.8180555555555555,0.8153174603174603,0.8175000000000001,0.8800000000000001,0.8284071793359718
"ANN (3,4)",0.7666666666666667,0.8442657342657343,0.8275,0.78,0.8482749766573295
"ANN (3,5)",0.7680555555555555,0.8541486291486292,0.8175000000000001,0.76,0.827329107081429
"ANN (4,1)",0.6361111111111111,0.5654901960784314,0.6075,0.8,0.6900720057376405
"ANN (4,2)",0.7138888888888889,0.8365384615384615,0.7,0.575,0.7161841846402351
"ANN (4,3)",0.7916666666666667,0.8237445887445887,0.7925,0.8300000000000001,0.8109655360119756
"ANN (4,4)",0.8666666666666668,0.8111832611832612,0.755,0.8300000000000001,0.8390047516982501
"ANN (4,5)",0.7819444444444444,0.8560606060606061,0.7825,0.8300000000000001,0.8346481588586852
"ANN (5,1)",0.7666666666666667,0.7051587301587301,0.6174999999999999,0.6799999999999999,0.5698968008255935
"ANN (5,2)",0.7819444444444444,0.8685392385392386,0.8175000000000001,0.79,0.7169179169643567
"ANN (5,3)",0.8041666666666668,0.8273304473304472,0.7875,0.8800000000000001,0.6918784139836771
"ANN (5,4)",0.8319444444444445,0.8245526695526696,0.7775000000000001,0.78,0.7758822395354903
"ANN (5,5)",0.8305555555555555,0.8243939393939395,0.765,0.8099999999999999,0.8244235021944
