Model,Accuracy,Precision,Sensitivity,Specificity,F1
Logistic Regression,0.8166666666666668,0.8372294372294373,0.8150000000000001,0.805,0.8112769102242787
Support Vector Machine,0.8166666666666668,0.8325829725829725,0.8150000000000001,0.8300000000000001,0.8110615906281542
Gaussian Naive Bayes,0.7819444444444444,0.8002164502164503,0.78,0.8099999999999999,0.777800269905533
Bernoulli Naive Bayes,0.7819444444444444,0.7953174603174603,0.78,0.8099999999999999,0.7757534673788544
Decision Tree,0.7097222222222223,0.7347113997113996,0.7224999999999999,0.72,0.7298178137651823
Random Forest,0.7930555555555555,0.7893434343434345,0.755,0.735,0.7760621576565849
Gradient Boosting,0.7430555555555556,0.7530952380952382,0.7675,0.735,0.7398739495798319
AdaBoost,0.8055555555555556,0.847121212121212,0.805,0.8099999999999999,0.7985370477475741
Extra Trees,0.8180555555555555,0.800858585858586,0.78,0.76,0.8000485187327293
Voting,0.8291666666666668,0.8479403929403929,0.8375,0.9,0.8363571726877691
k-Nearest Neighbors,0.7569444444444444,0.831091131091131,0.75,0.975,0.7354345963633889
Multi-layer Perceptron,0.6361111111111111,0.47111111111111104,0.7025,0.5,0.5282484491772417
Gaussian Process,0.7694444444444445,0.7748629148629148,0.77,0.8150000000000001,0.7657410494562198
Quadratic Discriminant Analysis,0.7680555555555555,0.779469696969697,0.77,0.6900000000000001,0.7649845768266821
Linear Discriminant Analysis,0.7930555555555555,0.8144949494949495,0.79,0.805,0.7857462523716394
Perceptron,0.8152777777777779,0.8431890331890333,0.8125,0.85,0.8099357677066656
Passive Aggressive,0.8152777777777779,0.8566666666666667,0.7875,0.8,0.7823222391643444
